ten,gia,donvitinh,ngaycapnhat
Măng lá khô (loại đầu búp măng),400000.0,Kg,2020-07-21 00:00:00
Mực ống (8-10 con/kg),160000.0,Kg,2020-07-21 00:00:00
Mứt bí tăm,130000.0,Kg,2020-07-21 00:00:00
Mứt dừa dẽo,180000.0,Kg,2020-07-21 00:00:00
Mứt gừng Huế,150000.0,Kg,2020-07-21 00:00:00
Mứt hạt sen Huế,200000.0,Kg,2020-07-21 00:00:00
Mứt khoai thanh,120000.0,Kg,2020-07-21 00:00:00
Mứt mãng cầu,150000.0,Kg,2020-07-21 00:00:00
Mứt me,150000.0,Kg,2020-07-21 00:00:00
Nạc dăm,160000.0,Kg,2020-07-21 00:00:00
Nấm hương,40000.0,100gr,2020-07-21 00:00:00
Nấm mèo,18000.0,100gr,2020-07-21 00:00:00
Nhãn thường,25000.0,Kg,2020-07-21 00:00:00
Nho khô (loại lớn),180000.0,Kg,2020-07-21 00:00:00
Nho tươi đỏ (Mỹ),200000.0,Kg,2020-07-21 00:00:00
Nho tươi Việt Nam,20000.0,Kg,2020-07-21 00:00:00
"Nước mắm chai 0,65lít 300 Liên Thành nhãn vàng",38000.0,chai,2020-07-21 00:00:00
Nước ngọt Coca-Cola lon (thùng 24 lon),195000.0,Thùng,2020-07-21 00:00:00
Quýt đường loại 1,50000.0,Kg,2020-07-21 00:00:00
Sen Huế,160000.0,Kg,2020-07-21 00:00:00
Sữa hộp Ông Thọ (chữ xanh không bật nắp),22000.0,Hộp,2020-07-21 00:00:00
Sữa tiệt trùng Vinamilk (220ml),6500.0,Gói,2020-07-21 00:00:00
Sườn già,150000.0,Kg,2020-07-21 00:00:00
Sườn non,150000.0,Kg,2020-07-21 00:00:00
Táo khô TQ,130000.0,Kg,2020-07-21 00:00:00
Táo TQ,35000.0,Kg,2020-07-21 00:00:00
Thịt bò đùi,250000.0,Kg,2020-07-21 00:00:00
Thịt bò fillet,300000.0,Kg,2020-07-21 00:00:00
Thịt cốt lết,152000.0,Kg,2020-07-21 00:00:00
Thịt heo ba rọi,250000.0,Kg,2020-07-21 00:00:00
Thịt heo đùi,160000.0,Kg,2020-07-21 00:00:00
Thịt heo nạc đùi,190000.0,Kg,2020-07-21 00:00:00
"Thịt nạc (dăm, vai, đùi)",190000.0,Kg,2020-07-21 00:00:00
Thịt nách,137000.0,Kg,2020-07-21 00:00:00
Thịt vai,160000.0,Kg,2020-07-21 00:00:00
Tôm bạc (100-110 con/kg),150000.0,Kg,2020-07-21 00:00:00
Tôm đất (tôm đồng),180000.0,Kg,2020-07-21 00:00:00
Trứng gà loại 1 các loại (Ba Huân),24000.0,vĩ 10 quả,2020-07-21 00:00:00
Trứng gà loại 1 - CP,22000.0,Chục,2020-07-21 00:00:00
Trứng vịt loại 1 các loại (Ba Huân),32000.0,vĩ 10 quả,2020-07-21 00:00:00
Trứng vịt loại 1 (Vĩnh Thành Đạt),30000.0,Chục,2020-07-21 00:00:00
"Vải Tejin nội khổ 1,40m",100000.0,m,2020-07-21 00:00:00
"Vịt làm sẵn (con 2-2,2kg)",160000.0,Kg,2020-07-21 00:00:00
Xà lách Đà Lạt,40000.0,Kg,2020-07-21 00:00:00
Xăng RON 95-III,14970.0,Lít,2020-07-21 00:00:00
Xăng RON 95-IV,15070.0,Lít,2020-07-21 00:00:00
Xoài cát Hòa Lộc (2 trái/kg),85000.0,Kg,2020-07-21 00:00:00
"Bánh chưng loại 1,5kg/cái",150000.0,Cái,2020-07-20 00:00:00
"Bánh chưng loại 1,5kg/cái",100000.0,Kg,2020-07-20 00:00:00
Bánh hộp Danisa butter cookie 454gr,130000.0,Hộp,2020-07-20 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-20 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-20 00:00:00
Bắp cải Đà Lạt,18000.0,Kg,2020-07-20 00:00:00
Bắp cải Đà Lạt (lặt sạch),17000.0,Kg,2020-07-20 00:00:00
Bia Heineken lon (thùng 24 lon),400000.0,Thùng,2020-07-20 00:00:00
Bia lon 333 Sài gòn (thùng 24 lon),250000.0,Thùng,2020-07-20 00:00:00
Bia Tiger lon (thùng 24 lon),340000.0,Thùng,2020-07-20 00:00:00
Bí xanh,17000.0,Kg,2020-07-20 00:00:00
"Bông cải xanh, bông cải trắng Đà lạ",35000.0,KG,2020-07-20 00:00:00
Bột ngọt Ajinomoto (VN 453gr/gói),30000.0,Gói,2020-07-20 00:00:00
Bưởi năm roi (da xanh) (trái 1 kg),45000.0,Trái,2020-07-20 00:00:00
Bưởi năm roi (trái 1kg),40000.0,Trái,2020-07-20 00:00:00
Cá bạc má,80000.0,Kg,2020-07-20 00:00:00
Cá basa,45000.0,Kg,2020-07-20 00:00:00
Cà chua,25000.0,Kg,2020-07-20 00:00:00
"Cá diêu hồng (con trên 0,7k/g)",65000.0,Kg,2020-07-20 00:00:00
Cá hường,90000.0,Kg,2020-07-20 00:00:00
Cải xanh,25000.0,Kg,2020-07-20 00:00:00
"Cá lóc nuôi bè (0,5kg/con)",80000.0,Kg,2020-07-20 00:00:00
Cam sành (loại 4-5 trái/kg),25000.0,Kg,2020-07-20 00:00:00
Cá nục,70000.0,Kg,2020-07-20 00:00:00
Cà rốt Đà Lạt,25000.0,Kg,2020-07-20 00:00:00
Cá thác lác,350000.0,Kg,2020-07-20 00:00:00
Cá thu,250000.0,Kg,2020-07-20 00:00:00
Chả bò (CS. Định),220000.0,Kg,2020-07-20 00:00:00
Chả lụa (Phương Nam),220000.0,Kg,2020-07-20 00:00:00
Chân giò,85000.0,Kg,2020-07-20 00:00:00
Chanh giấy,18000.0,Kg,2020-07-20 00:00:00
Công giữ xe đạp,2000.0,Lượt,2020-07-20 00:00:00
Công giữ xe gắn máy,5000.0,Lượt,2020-07-20 00:00:00
Củ cải trắng,8000.0,Kg,2020-07-20 00:00:00
Dầu ăn tổng hợp Nakydaco (chai 1 lít),22000.0,Lít,2020-07-20 00:00:00
Dầu ăn tổng hợp Naptune (chai 1 lít),45000.0,Lít,2020-07-20 00:00:00
Dầu ăn tổng hợp Tường An (chai 1 lít),37000.0,Lít,2020-07-20 00:00:00
Dầu hỏa,10030.0,Lít,2020-07-20 00:00:00
Đậu phộng (cũ) loại 1,70000.0,Kg,2020-07-20 00:00:00
Đậu xanh mỡ hạt loại 1,50000.0,Kg,2020-07-20 00:00:00
"DO 0,001S-V",12410.0,Lít,2020-07-20 00:00:00
"DO 0,05S-II",12110.0,Lít,2020-07-20 00:00:00
Dưa hấu giống TL (trái 3kg),12000.0,Kg,2020-07-20 00:00:00
Dưa leo,18000.0,Kg,2020-07-20 00:00:00
Đường RE biên hòa (bịch 1 kg),21000.0,Kg,2020-07-20 00:00:00
Đường RE biên hòa rời,16000.0,Kg,2020-07-20 00:00:00
E5  RON 92-II,14250.0,Lít,2020-07-20 00:00:00
Gà công nghiệp làm sẵn,65000.0,Kg,2020-07-20 00:00:00
"Gà mái ta làm sẵn (con 1-1,5kg)",120000.0,Kg,2020-07-20 00:00:00
Gạo nàng thơm chợ Đào,22000.0,Kg,2020-07-20 00:00:00
Gạo Tám thơm,18000.0,Kg,2020-07-20 00:00:00
Gạo tẻ trắng IR 64  25% tấm,12000.0,Kg,2020-07-20 00:00:00
Gạo trắng Jasmine,14000.0,Kg,2020-07-20 00:00:00
Gas Petrolimex (bình 13kg),388500.0,Bình,2020-07-20 00:00:00
"Gà tam hoàng làm sẵn (con 1 - 1,5kg)",75000.0,Kg,2020-07-20 00:00:00
Giò bò,220000.0,Kg,2020-07-20 00:00:00
Gừng,36000.0,Kg,2020-07-20 00:00:00
Hành lá,22000.0,Kg,2020-07-20 00:00:00
Hành tím Gò Công,30000.0,Kg,2020-07-20 00:00:00
Hạt dưa,120000.0,Kg,2020-07-20 00:00:00
Heo hơi (loại 1),86000.0,Kg,2020-07-20 00:00:00
Hoa glayoel,80000.0,chục,2020-07-20 00:00:00
Hoa huệ,110000.0,Chục,2020-07-20 00:00:00
Khoai tây Đà Lạt,30000.0,Kg,2020-07-20 00:00:00
Khổ qua,25000.0,Kg,2020-07-20 00:00:00
Kiệu tươi Huế,65000.0,Kg,2020-07-20 00:00:00
Lạp xưởng Mai quế lộ loại 1 (Vissan),220000.0,Kg,2020-07-20 00:00:00
Lê TQ,41000.0,Kg,2020-07-20 00:00:00
Mãng cầu (4-5 trái/kg),50000.0,Kg,2020-07-20 00:00:00
Măng lá khô (loại đầu búp măng),400000.0,Kg,2020-07-20 00:00:00
Mực ống (8-10 con/kg),160000.0,Kg,2020-07-20 00:00:00
Mứt bí tăm,130000.0,Kg,2020-07-20 00:00:00
Mứt dừa dẽo,180000.0,Kg,2020-07-20 00:00:00
Mứt gừng Huế,150000.0,Kg,2020-07-20 00:00:00
Mứt hạt sen Huế,200000.0,Kg,2020-07-20 00:00:00
Mứt khoai thanh,120000.0,Kg,2020-07-20 00:00:00
Mứt mãng cầu,150000.0,Kg,2020-07-20 00:00:00
Mứt me,150000.0,Kg,2020-07-20 00:00:00
Nạc dăm,160000.0,Kg,2020-07-20 00:00:00
Nấm hương,40000.0,100gr,2020-07-20 00:00:00
Nấm mèo,18000.0,100gr,2020-07-20 00:00:00
Nhãn thường,25000.0,Kg,2020-07-20 00:00:00
Nho khô (loại lớn),180000.0,Kg,2020-07-20 00:00:00
Nho tươi đỏ (Mỹ),200000.0,Kg,2020-07-20 00:00:00
Nho tươi Việt Nam,20000.0,Kg,2020-07-20 00:00:00
"Nước mắm chai 0,65lít 300 Liên Thành nhãn vàng",38000.0,chai,2020-07-20 00:00:00
Nước ngọt Coca-Cola lon (thùng 24 lon),195000.0,Thùng,2020-07-20 00:00:00
Quýt đường loại 1,50000.0,Kg,2020-07-20 00:00:00
Sen Huế,160000.0,Kg,2020-07-20 00:00:00
Sữa hộp Ông Thọ (chữ xanh không bật nắp),22000.0,Hộp,2020-07-20 00:00:00
Sữa tiệt trùng Vinamilk (220ml),6500.0,Gói,2020-07-20 00:00:00
Sườn già,150000.0,Kg,2020-07-20 00:00:00
Sườn non,150000.0,Kg,2020-07-20 00:00:00
Táo khô TQ,130000.0,Kg,2020-07-20 00:00:00
Táo TQ,35000.0,Kg,2020-07-20 00:00:00
Thịt bò đùi,250000.0,Kg,2020-07-20 00:00:00
Thịt bò fillet,300000.0,Kg,2020-07-20 00:00:00
Thịt cốt lết,152000.0,Kg,2020-07-20 00:00:00
Thịt heo ba rọi,250000.0,Kg,2020-07-20 00:00:00
Thịt heo đùi,160000.0,Kg,2020-07-20 00:00:00
Thịt heo nạc đùi,190000.0,Kg,2020-07-20 00:00:00
"Thịt nạc (dăm, vai, đùi)",190000.0,Kg,2020-07-20 00:00:00
Thịt nách,137000.0,Kg,2020-07-20 00:00:00
Thịt vai,160000.0,Kg,2020-07-20 00:00:00
Tôm bạc (100-110 con/kg),150000.0,Kg,2020-07-20 00:00:00
Tôm đất (tôm đồng),180000.0,Kg,2020-07-20 00:00:00
Trứng gà loại 1 các loại (Ba Huân),24000.0,vĩ 10 quả,2020-07-20 00:00:00
Trứng gà loại 1 - CP,22000.0,Chục,2020-07-20 00:00:00
Trứng vịt loại 1 các loại (Ba Huân),32000.0,vĩ 10 quả,2020-07-20 00:00:00
Trứng vịt loại 1 (Vĩnh Thành Đạt),30000.0,Chục,2020-07-20 00:00:00
"Vải Tejin nội khổ 1,40m",100000.0,m,2020-07-20 00:00:00
"Vịt làm sẵn (con 2-2,2kg)",160000.0,Kg,2020-07-20 00:00:00
Xà lách Đà Lạt,40000.0,Kg,2020-07-20 00:00:00
Xăng RON 95-III,14970.0,Lít,2020-07-20 00:00:00
Xăng RON 95-IV,15070.0,Lít,2020-07-20 00:00:00
Xoài cát Hòa Lộc (2 trái/kg),85000.0,Kg,2020-07-20 00:00:00
"Bánh chưng loại 1,5kg/cái",150000.0,Cái,2020-07-17 00:00:00
"Bánh chưng loại 1,5kg/cái",100000.0,Kg,2020-07-17 00:00:00
Bánh hộp Danisa butter cookie 454gr,130000.0,Hộp,2020-07-17 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-17 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-17 00:00:00
Bắp cải Đà Lạt,18000.0,Kg,2020-07-17 00:00:00
Bắp cải Đà Lạt (lặt sạch),17000.0,Kg,2020-07-17 00:00:00
Bia Heineken lon (thùng 24 lon),400000.0,Thùng,2020-07-17 00:00:00
Bia lon 333 Sài gòn (thùng 24 lon),250000.0,Thùng,2020-07-17 00:00:00
Bia Tiger lon (thùng 24 lon),340000.0,Thùng,2020-07-17 00:00:00
Bí xanh,17000.0,Kg,2020-07-17 00:00:00
"Bông cải xanh, bông cải trắng Đà lạ",35000.0,KG,2020-07-17 00:00:00
Bột ngọt Ajinomoto (VN 453gr/gói),30000.0,Gói,2020-07-17 00:00:00
Bưởi năm roi (da xanh) (trái 1 kg),45000.0,Trái,2020-07-17 00:00:00
Bưởi năm roi (trái 1kg),40000.0,Trái,2020-07-17 00:00:00
Cá bạc má,80000.0,Kg,2020-07-17 00:00:00
Cá basa,45000.0,Kg,2020-07-17 00:00:00
Cà chua,25000.0,Kg,2020-07-17 00:00:00
"Cá diêu hồng (con trên 0,7k/g)",65000.0,Kg,2020-07-17 00:00:00
Cá hường,90000.0,Kg,2020-07-17 00:00:00
Cải xanh,25000.0,Kg,2020-07-17 00:00:00
"Cá lóc nuôi bè (0,5kg/con)",80000.0,Kg,2020-07-17 00:00:00
Cam sành (loại 4-5 trái/kg),25000.0,Kg,2020-07-17 00:00:00
Cá nục,70000.0,Kg,2020-07-17 00:00:00
Cà rốt Đà Lạt,25000.0,Kg,2020-07-17 00:00:00
Cá thác lác,350000.0,Kg,2020-07-17 00:00:00
Cá thu,250000.0,Kg,2020-07-17 00:00:00
Chả bò (CS. Định),220000.0,Kg,2020-07-17 00:00:00
Chả lụa (Phương Nam),220000.0,Kg,2020-07-17 00:00:00
Chân giò,85000.0,Kg,2020-07-17 00:00:00
Chanh giấy,18000.0,Kg,2020-07-17 00:00:00
Công giữ xe đạp,2000.0,Lượt,2020-07-17 00:00:00
Công giữ xe gắn máy,5000.0,Lượt,2020-07-17 00:00:00
Củ cải trắng,8000.0,Kg,2020-07-17 00:00:00
Dầu ăn tổng hợp Nakydaco (chai 1 lít),22000.0,Lít,2020-07-17 00:00:00
Dầu ăn tổng hợp Naptune (chai 1 lít),45000.0,Lít,2020-07-17 00:00:00
Dầu ăn tổng hợp Tường An (chai 1 lít),37000.0,Lít,2020-07-17 00:00:00
Dầu hỏa,10030.0,Lít,2020-07-17 00:00:00
Đậu phộng (cũ) loại 1,70000.0,Kg,2020-07-17 00:00:00
Đậu xanh mỡ hạt loại 1,50000.0,Kg,2020-07-17 00:00:00
"DO 0,001S-V",12410.0,Lít,2020-07-17 00:00:00
"DO 0,05S-II",12110.0,Lít,2020-07-17 00:00:00
Dưa hấu giống TL (trái 3kg),12000.0,Kg,2020-07-17 00:00:00
Dưa leo,18000.0,Kg,2020-07-17 00:00:00
Đường RE biên hòa (bịch 1 kg),21000.0,Kg,2020-07-17 00:00:00
Đường RE biên hòa rời,16000.0,Kg,2020-07-17 00:00:00
E5  RON 92-II,14250.0,Lít,2020-07-17 00:00:00
Gà công nghiệp làm sẵn,65000.0,Kg,2020-07-17 00:00:00
"Gà mái ta làm sẵn (con 1-1,5kg)",120000.0,Kg,2020-07-17 00:00:00
Gạo nàng thơm chợ Đào,22000.0,Kg,2020-07-17 00:00:00
Gạo Tám thơm,18000.0,Kg,2020-07-17 00:00:00
Gạo tẻ trắng IR 64  25% tấm,12000.0,Kg,2020-07-17 00:00:00
Gạo trắng Jasmine,14000.0,Kg,2020-07-17 00:00:00
Gas Petrolimex (bình 13kg),388500.0,Bình,2020-07-17 00:00:00
"Gà tam hoàng làm sẵn (con 1 - 1,5kg)",75000.0,Kg,2020-07-17 00:00:00
Giò bò,220000.0,Kg,2020-07-17 00:00:00
Gừng,36000.0,Kg,2020-07-17 00:00:00
Hành lá,22000.0,Kg,2020-07-17 00:00:00
Hành tím Gò Công,30000.0,Kg,2020-07-17 00:00:00
Hạt dưa,120000.0,Kg,2020-07-17 00:00:00
Heo hơi (loại 1),86000.0,Kg,2020-07-17 00:00:00
Hoa glayoel,80000.0,chục,2020-07-17 00:00:00
Hoa huệ,110000.0,Chục,2020-07-17 00:00:00
Khoai tây Đà Lạt,30000.0,Kg,2020-07-17 00:00:00
Khổ qua,25000.0,Kg,2020-07-17 00:00:00
Kiệu tươi Huế,65000.0,Kg,2020-07-17 00:00:00
Lạp xưởng Mai quế lộ loại 1 (Vissan),220000.0,Kg,2020-07-17 00:00:00
Lê TQ,41000.0,Kg,2020-07-17 00:00:00
Mãng cầu (4-5 trái/kg),50000.0,Kg,2020-07-17 00:00:00
Măng lá khô (loại đầu búp măng),400000.0,Kg,2020-07-17 00:00:00
Mực ống (8-10 con/kg),160000.0,Kg,2020-07-17 00:00:00
Mứt bí tăm,130000.0,Kg,2020-07-17 00:00:00
Mứt dừa dẽo,180000.0,Kg,2020-07-17 00:00:00
Mứt gừng Huế,150000.0,Kg,2020-07-17 00:00:00
Mứt hạt sen Huế,200000.0,Kg,2020-07-17 00:00:00
Mứt khoai thanh,120000.0,Kg,2020-07-17 00:00:00
Mứt mãng cầu,150000.0,Kg,2020-07-17 00:00:00
Mứt me,150000.0,Kg,2020-07-17 00:00:00
Nạc dăm,160000.0,Kg,2020-07-17 00:00:00
Nấm hương,40000.0,100gr,2020-07-17 00:00:00
Nấm mèo,18000.0,100gr,2020-07-17 00:00:00
Nhãn thường,25000.0,Kg,2020-07-17 00:00:00
Nho khô (loại lớn),180000.0,Kg,2020-07-17 00:00:00
Nho tươi đỏ (Mỹ),200000.0,Kg,2020-07-17 00:00:00
Nho tươi Việt Nam,20000.0,Kg,2020-07-17 00:00:00
"Nước mắm chai 0,65lít 300 Liên Thành nhãn vàng",38000.0,chai,2020-07-17 00:00:00
Nước ngọt Coca-Cola lon (thùng 24 lon),195000.0,Thùng,2020-07-17 00:00:00
Quýt đường loại 1,50000.0,Kg,2020-07-17 00:00:00
Sen Huế,160000.0,Kg,2020-07-17 00:00:00
Sữa hộp Ông Thọ (chữ xanh không bật nắp),22000.0,Hộp,2020-07-17 00:00:00
Sữa tiệt trùng Vinamilk (220ml),6500.0,Gói,2020-07-17 00:00:00
Sườn già,150000.0,Kg,2020-07-17 00:00:00
Sườn non,150000.0,Kg,2020-07-17 00:00:00
Táo khô TQ,130000.0,Kg,2020-07-17 00:00:00
Táo TQ,35000.0,Kg,2020-07-17 00:00:00
Thịt bò đùi,250000.0,Kg,2020-07-17 00:00:00
Thịt bò fillet,300000.0,Kg,2020-07-17 00:00:00
Thịt cốt lết,152000.0,Kg,2020-07-17 00:00:00
Thịt heo ba rọi,250000.0,Kg,2020-07-17 00:00:00
Thịt heo đùi,160000.0,Kg,2020-07-17 00:00:00
Thịt heo nạc đùi,190000.0,Kg,2020-07-17 00:00:00
"Thịt nạc (dăm, vai, đùi)",190000.0,Kg,2020-07-17 00:00:00
Thịt nách,137000.0,Kg,2020-07-17 00:00:00
Thịt vai,160000.0,Kg,2020-07-17 00:00:00
Tôm bạc (100-110 con/kg),150000.0,Kg,2020-07-17 00:00:00
Tôm đất (tôm đồng),180000.0,Kg,2020-07-17 00:00:00
Trứng gà loại 1 các loại (Ba Huân),24000.0,vĩ 10 quả,2020-07-17 00:00:00
Trứng gà loại 1 - CP,22000.0,Chục,2020-07-17 00:00:00
Trứng vịt loại 1 các loại (Ba Huân),32000.0,vĩ 10 quả,2020-07-17 00:00:00
Trứng vịt loại 1 (Vĩnh Thành Đạt),30000.0,Chục,2020-07-17 00:00:00
"Vải Tejin nội khổ 1,40m",100000.0,m,2020-07-17 00:00:00
"Vịt làm sẵn (con 2-2,2kg)",160000.0,Kg,2020-07-17 00:00:00
Xà lách Đà Lạt,40000.0,Kg,2020-07-17 00:00:00
Xăng RON 95-III,14970.0,Lít,2020-07-17 00:00:00
Xăng RON 95-IV,15070.0,Lít,2020-07-17 00:00:00
Xoài cát Hòa Lộc (2 trái/kg),85000.0,Kg,2020-07-17 00:00:00
"Bánh chưng loại 1,5kg/cái",150000.0,Cái,2020-07-16 00:00:00
"Bánh chưng loại 1,5kg/cái",100000.0,Kg,2020-07-16 00:00:00
Bánh hộp Danisa butter cookie 454gr,130000.0,Hộp,2020-07-16 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-16 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-07-16 00:00:00
Bắp cải Đà Lạt,18000.0,Kg,2020-07-16 00:00:00
Bắp cải Đà Lạt (lặt sạch),17000.0,Kg,2020-07-16 00:00:00
Bia Heineken lon (thùng 24 lon),400000.0,Thùng,2020-07-16 00:00:00
Bia lon 333 Sài gòn (thùng 24 lon),250000.0,Thùng,2020-07-16 00:00:00
Bia Tiger lon (thùng 24 lon),340000.0,Thùng,2020-07-16 00:00:00
Bí xanh,17000.0,Kg,2020-07-16 00:00:00
"Bông cải xanh, bông cải trắng Đà lạ",35000.0,KG,2020-07-16 00:00:00
Bột ngọt Ajinomoto (VN 453gr/gói),30000.0,Gói,2020-07-16 00:00:00
Bưởi năm roi (da xanh) (trái 1 kg),45000.0,Trái,2020-07-16 00:00:00
Bưởi năm roi (trái 1kg),40000.0,Trái,2020-07-16 00:00:00
Cá bạc má,80000.0,Kg,2020-07-16 00:00:00
Cá basa,45000.0,Kg,2020-07-16 00:00:00
Cà chua,25000.0,Kg,2020-07-16 00:00:00
"Cá diêu hồng (con trên 0,7k/g)",65000.0,Kg,2020-07-16 00:00:00
Cá hường,90000.0,Kg,2020-07-16 00:00:00
Cải xanh,25000.0,Kg,2020-07-16 00:00:00
"Cá lóc nuôi bè (0,5kg/con)",80000.0,Kg,2020-07-16 00:00:00
Cam sành (loại 4-5 trái/kg),25000.0,Kg,2020-07-16 00:00:00
Cá nục,70000.0,Kg,2020-07-16 00:00:00
Cà rốt Đà Lạt,25000.0,Kg,2020-07-16 00:00:00
Cá thác lác,350000.0,Kg,2020-07-16 00:00:00
Cá thu,250000.0,Kg,2020-07-16 00:00:00
Chả bò (CS. Định),220000.0,Kg,2020-07-16 00:00:00
Chả lụa (Phương Nam),220000.0,Kg,2020-07-16 00:00:00
Chân giò,85000.0,Kg,2020-07-16 00:00:00
Chanh giấy,18000.0,Kg,2020-07-16 00:00:00
Công giữ xe đạp,2000.0,Lượt,2020-07-16 00:00:00
Công giữ xe gắn máy,5000.0,Lượt,2020-07-16 00:00:00
Củ cải trắng,8000.0,Kg,2020-07-16 00:00:00
Dầu ăn tổng hợp Nakydaco (chai 1 lít),22000.0,Lít,2020-07-16 00:00:00
Dầu ăn tổng hợp Naptune (chai 1 lít),45000.0,Lít,2020-07-16 00:00:00
Dầu ăn tổng hợp Tường An (chai 1 lít),37000.0,Lít,2020-07-16 00:00:00
Dầu hỏa,10030.0,Lít,2020-07-16 00:00:00
Đậu phộng (cũ) loại 1,70000.0,Kg,2020-07-16 00:00:00
Đậu xanh mỡ hạt loại 1,50000.0,Kg,2020-07-16 00:00:00
"DO 0,001S-V",12410.0,Lít,2020-07-16 00:00:00
"DO 0,05S-II",12110.0,Lít,2020-07-16 00:00:00
Dưa hấu giống TL (trái 3kg),12000.0,Kg,2020-07-16 00:00:00
Dưa leo,18000.0,Kg,2020-07-16 00:00:00
Đường RE biên hòa (bịch 1 kg),21000.0,Kg,2020-07-16 00:00:00
Đường RE biên hòa rời,16000.0,Kg,2020-07-16 00:00:00
E5  RON 92-II,14250.0,Lít,2020-07-16 00:00:00
Gà công nghiệp làm sẵn,65000.0,Kg,2020-07-16 00:00:00
"Gà mái ta làm sẵn (con 1-1,5kg)",120000.0,Kg,2020-07-16 00:00:00
Gạo nàng thơm chợ Đào,22000.0,Kg,2020-07-16 00:00:00
Gạo Tám thơm,18000.0,Kg,2020-07-16 00:00:00
Gạo tẻ trắng IR 64  25% tấm,12000.0,Kg,2020-07-16 00:00:00
Gạo trắng Jasmine,14000.0,Kg,2020-07-16 00:00:00
Gas Petrolimex (bình 13kg),388500.0,Bình,2020-07-16 00:00:00
"Gà tam hoàng làm sẵn (con 1 - 1,5kg)",75000.0,Kg,2020-07-16 00:00:00
Giò bò,220000.0,Kg,2020-07-16 00:00:00
Gừng,36000.0,Kg,2020-07-16 00:00:00
Hành lá,22000.0,Kg,2020-07-16 00:00:00
Hành tím Gò Công,30000.0,Kg,2020-07-16 00:00:00
Hạt dưa,120000.0,Kg,2020-07-16 00:00:00
Heo hơi (loại 1),86000.0,Kg,2020-07-16 00:00:00
Hoa glayoel,80000.0,chục,2020-07-16 00:00:00
Hoa huệ,110000.0,Chục,2020-07-16 00:00:00
Khoai tây Đà Lạt,30000.0,Kg,2020-07-16 00:00:00
Khổ qua,25000.0,Kg,2020-07-16 00:00:00
Kiệu tươi Huế,65000.0,Kg,2020-07-16 00:00:00
Lạp xưởng Mai quế lộ loại 1 (Vissan),220000.0,Kg,2020-07-16 00:00:00
Lê TQ,41000.0,Kg,2020-07-16 00:00:00
Mãng cầu (4-5 trái/kg),50000.0,Kg,2020-07-16 00:00:00
Măng lá khô (loại đầu búp măng),400000.0,Kg,2020-07-16 00:00:00
Mực ống (8-10 con/kg),160000.0,Kg,2020-07-16 00:00:00
Mứt bí tăm,130000.0,Kg,2020-07-16 00:00:00
Mứt dừa dẽo,180000.0,Kg,2020-07-16 00:00:00
Mứt gừng Huế,150000.0,Kg,2020-07-16 00:00:00
Mứt hạt sen Huế,200000.0,Kg,2020-07-16 00:00:00
Mứt khoai thanh,120000.0,Kg,2020-07-16 00:00:00
Mứt mãng cầu,150000.0,Kg,2020-07-16 00:00:00
Mứt me,150000.0,Kg,2020-07-16 00:00:00
Nạc dăm,160000.0,Kg,2020-07-16 00:00:00
Nấm hương,40000.0,100gr,2020-07-16 00:00:00
Nấm mèo,18000.0,100gr,2020-07-16 00:00:00
Nhãn thường,25000.0,Kg,2020-07-16 00:00:00
Nho khô (loại lớn),180000.0,Kg,2020-07-16 00:00:00
Nho tươi đỏ (Mỹ),200000.0,Kg,2020-07-16 00:00:00
Nho tươi Việt Nam,20000.0,Kg,2020-07-16 00:00:00
"Nước mắm chai 0,65lít 300 Liên Thành nhãn vàng",38000.0,chai,2020-07-16 00:00:00
Nước ngọt Coca-Cola lon (thùng 24 lon),195000.0,Thùng,2020-07-16 00:00:00
Quýt đường loại 1,50000.0,Kg,2020-07-16 00:00:00
Sen Huế,160000.0,Kg,2020-07-16 00:00:00
Sữa hộp Ông Thọ (chữ xanh không bật nắp),22000.0,Hộp,2020-07-16 00:00:00
Sữa tiệt trùng Vinamilk (220ml),6500.0,Gói,2020-07-16 00:00:00
Sườn già,150000.0,Kg,2020-07-16 00:00:00
Sườn non,150000.0,Kg,2020-07-16 00:00:00
Táo khô TQ,130000.0,Kg,2020-07-16 00:00:00
Táo TQ,35000.0,Kg,2020-07-16 00:00:00
Thịt bò đùi,250000.0,Kg,2020-07-16 00:00:00
Thịt bò fillet,300000.0,Kg,2020-07-16 00:00:00
Thịt cốt lết,152000.0,Kg,2020-07-16 00:00:00
Thịt heo ba rọi,250000.0,Kg,2020-07-16 00:00:00
Thịt heo đùi,160000.0,Kg,2020-07-16 00:00:00
Thịt heo nạc đùi,190000.0,Kg,2020-07-16 00:00:00
"Thịt nạc (dăm, vai, đùi)",190000.0,Kg,2020-07-16 00:00:00
Thịt nách,137000.0,Kg,2020-07-16 00:00:00
Thịt vai,160000.0,Kg,2020-07-16 00:00:00
